Excel_Col,Charge_Group,Cont_Type,Status
A,POL,,ACTIVE
B,POD,,ACTIVE
C,Place of Delivery,,ACTIVE
D,Routing note,,ACTIVE
E,ROUTING,,ACTIVE
F,CARRIER,,ACTIVE
G,Effective Date,,ACTIVE
H,Expiration Date,,ACTIVE
I,Group rate or Service note,,ACTIVE
J,Commodity,,ACTIVE
K,Transit time // Group code,,ACTIVE
L,Contract Identifier,,ACTIVE
M,ALL IN COST,20GP,ACTIVE
N,ALL IN COST,40GP,ACTIVE
O,ALL IN COST,40HQ,ACTIVE
P,ALL IN COST,45'HQ,ACTIVE
Q,ALL IN COST,40NOR,ACTIVE
R,BASIC O/F,20GP,ACTIVE
S,BASIC O/F,40GP,ACTIVE
T,BASIC O/F,40HQ,ACTIVE
U,BASIC O/F,45'HQ,ACTIVE
V,BASIC O/F,40NOR,ACTIVE
W,ARB/OLF,20GP,ACTIVE
X,ARB/OLF,40GP,ACTIVE
Y,ARB/OLF,40HQ,ACTIVE
Z,ARB/OLF,45'HQ,ACTIVE
AA,PREMIUM ADD ON/HDL FEE US FOR SOC,20GP,ACTIVE
AB,PREMIUM ADD ON/HDL FEE US FOR SOC,40GP,ACTIVE
AC,PREMIUM ADD ON/HDL FEE US FOR SOC,40HQ,ACTIVE
AD,PREMIUM ADD ON/HDL FEE US FOR SOC,45'HQ,ACTIVE
AE,ISPS/LSF/CMC,20GP,ACTIVE
AF,ISPS/LSF/CMC,40GP,ACTIVE
AG,ISPS/LSF/CMC,40HQ,ACTIVE
AH,ISPS/LSF/CMC,45'HQ,ACTIVE
AI,OCS/LSS/EFF/ITC/GFS/ SOC COST HDL FEE,20GP,ACTIVE
AJ,OCS/LSS/EFF/ITC/GFS/ SOC COST HDL FEE,40GP,ACTIVE
AK,OCS/LSS/EFF/ITC/GFS/ SOC COST HDL FEE,40HQ,ACTIVE
AL,OCS/LSS/EFF/ITC/GFS/ SOC COST HDL FEE,45'HQ,ACTIVE
AM,PSS/PUC,20GP,ACTIVE
AN,PSS/PUC,40GP,ACTIVE
AO,PSS/PUC,40HQ,ACTIVE
AP,PSS/PUC,45'HQ,ACTIVE
AQ,GRI,20GP,ACTIVE
AR,GRI,40GP,ACTIVE
AS,GRI,40HQ,ACTIVE
AT,GRI,45'HQ,ACTIVE
AU,EIC/GFS/BAF/FDI,20GP,ACTIVE
AV,EIC/GFS/BAF/FDI,40GP,ACTIVE
AW,EIC/GFS/BAF/FDI,40HQ,ACTIVE
AX,EIC/GFS/BAF/FDI,45'HQ,ACTIVE
AY,PCS,20GP,ACTIVE
AZ,PCS,40GP,ACTIVE
BA,PCS,40HQ,ACTIVE
BB,PCS,45'HQ,ACTIVE
BC,PCS/ACS/AGS,20GP,ACTIVE
BD,PCS/ACS/AGS,40GP,ACTIVE
BE,PCS/ACS/AGS,40HQ,ACTIVE
BF,PCS/ACS/AGS,45'HQ,ACTIVE
BG,GARMENT ADD ON,20GP,ACTIVE
BH,GARMENT ADD ON,40GP,ACTIVE
BI,GARMENT ADD ON,40HQ,ACTIVE
BJ,GARMENT ADD ON,45'HQ,ACTIVE
BK,WHA/BCO/BCD/CFC/EIC,20GP,ACTIVE
BL,WHA/BCO/BCD/CFC/EIC,40GP,ACTIVE
BM,WHA/BCO/BCD/CFC/EIC,40HQ,ACTIVE
BN,WHA/BCO/BCD/CFC/EIC,45'HQ,ACTIVE
BO,HANDLING FEE FOR CARRIER,20GP,ACTIVE
BP,HANDLING FEE FOR CARRIER,40GP,ACTIVE
BQ,HANDLING FEE FOR CARRIER,40HQ,ACTIVE
BR,HANDLING FEE FOR CARRIER,45'HQ,ACTIVE
BS,HANDLING FEE FOR CARRIER,40NOR,ACTIVE
