Excel_Col,Charge_Group,Cont_Type,Status
A,PlaceOfDelivery,,ACTIVE
B,POD,,ACTIVE
C,Group rate or Service note,,ACTIVE
D,Contract Identifier,,ACTIVE
E,SKIP,,SKIP
F,Effective Date,,ACTIVE
G,Expiration Date,,ACTIVE
H,BASE O/F,20',ACTIVE
I,BASE O/F,40',ACTIVE
J,BASE O/F,40'HC,ACTIVE
K,HLCU Offer,20',ACTIVE
L,HLCU Offer,40',ACTIVE
M,HLCU Offer,40'HC,ACTIVE
N,ISPS,20',ACTIVE
O,ISPS,40',ACTIVE
P,ISPS,40'HC,ACTIVE
Q,EMF,20',ACTIVE
R,EMF,40',ACTIVE
S,EMF,40'HC,ACTIVE
T,DLF,20',ACTIVE
U,DLF,40',ACTIVE
V,DLF,40'HC,ACTIVE
W,COMMISSION,20',ACTIVE
X,COMMISSION,40',ACTIVE
Y,COMMISSION,40'HC,ACTIVE
